Strain;Plant;3;4;5;6;7;8;9;10;11;Batch
Strain2;Medicago;0;0;0;NA;0;NA;NA;2;4;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;2;3;B-II
Strain2;Medicago;0;0;0;NA;2;NA;NA;3;4;B-II
Strain2;Medicago;0;0;2;NA;4;NA;NA;4;4;B-II
Strain2;Medicago;0;0;0;NA;4;NA;NA;4;4;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-II
Strain2;Medicago;0;0;2;NA;4;NA;NA;4;4;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;4;4;B-II
Strain2;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-II
Strain2;Medicago;0;0;0;NA;0;NA;NA;0;0;B-II
Strain2;Medicago;0;0;0;NA;3;NA;NA;4;4;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;2;NA;NA;4;4;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;1;1;B-II
Strain3;Medicago;1;1;1;NA;2;NA;NA;2;3;B-II
Strain3;Medicago;1;1;1;NA;1;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;3;NA;NA;2;3;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;2;2;B-II
Strain4;Medicago;2;2;2;NA;3;NA;NA;3;4;B-II
Strain4;Medicago;2;2;2;NA;2;NA;NA;3;3;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;2;3;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain5;Medicago;0;1;3;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;1;3;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;0;0;NA;1;NA;NA;4;4;B-II
Strain6;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;2;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;2;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;0;0;NA;0;NA;NA;4;4;B-II
Strain6;Medicago;0;0;0;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;2;3;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain6;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;2;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;1;3;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;0;0;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;1;3;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;3;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;0;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;0;3;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;1;3,5;NA;4;NA;NA;4;4;B-II
Strain7;Medicago;0;1;3;NA;4;NA;NA;4;4;B-II
